Sentence,label
እጅ ነሳ,Idiom
እጅ ነሳ,Idiom
እጅ አላስገባም,Idiom
እጅ አውሰኝ,Idiom
እጅ አዛወረ,Idiom
እጅ አደረገ,Idiom
እጅ አደር,Idiom
እጅ አጠረው,Idiom
እጅ እጅ አለ,Idiom
እጅ ከፍንጅ,Idiom
እጅህ ከምን,Idiom
እጅህ ይጡም,Idiom
እጅህን ሰብስብ,Idiom
እገሌን አልቦታል,Idiom
እግረ መንገዱን ጠየቀ,Idiom
እግረ መንገድ,Idiom
እግረ ሙቅ,Idiom
እግረ ሰላቢ,Idiom
እግረ ርጥብ,Idiom
እግረ ነጭ,Idiom
እግረ እርጥብ,Idiom
እግረ ከባድ,Idiom
እግረ ጭራሮ,Idiom
እግሩ ቀለለ,Idiom
እግሩን ጠለፈው,Idiom
እግሬ አዉጭኝ,Idiom
እግሬ አዉጭኝ,Idiom
እግር መመለሻ,Idiom
እግር ሳመ,Idiom
እግር ተፈረስ,Idiom
እግር አወጣ,Idiom
እግር እስኪነቃ ቢኬድ,Idiom
እግር ጣለው,Idiom
እግርህን ሰብስብ,Idiom
እግርህን አታሰናዝር,Idiom
እግዜር አየ,Idiom
እግዜር ይፍታ አለ,Idiom
እጠ መሰውር,Idiom
እጡን የጣለ ሰይጣን,Idiom
እጣ ክፍል,Idiom
እጣዬ ሆኖ,Idiom
እጥር ምጥን አለ,Idiom
እጥብ ያለ,Idiom
እፍ እፍ አለ,Idiom
እፍ ያለ እንጀራ,Idiom
እፍ ያለች,Idiom
እፍረት የለሽ,Idiom
እፍን እፍን ትወዳለች,Idiom
ከሁለት ያጣ ጎመን,Idiom
ከልቡ ተናገረ,Idiom
ከልቡ አገለገለ,Idiom
ከልኩ አለፈ,Idiom
ከልኩ አያልፍም,Idiom
ከልጅ ልጅ ቢለዩ,Idiom
ከመሬት ረገጠው,Idiom
ከመንገድ ወጣ,Idiom
ከመጤፍ አይቁጥርም,Idiom
ከማን አንሼ,Idiom
ከሞላ ጎደል,Idiom
ከስጋ ብስና ጎመን በጤና,Idiom
ከርሞ ጥጃ,Idiom
ከርሳም,Idiom
ከርስት ነቀለ,Idiom
ከቁንጫ ሌጦ ማውጣት ያውቃል,Idiom
ከበሮ ሆድ,Idiom
ከበደ ህግ ከገባ አመት አልፎታል,Idiom
ከብቱ ጥርሱን ሰብሯል,Idiom
ከብቱን ለቀቀ,Idiom
ከብዳለች,Idiom
ከተማ ቆረቆረ,Idiom
ከነመረቁ አቃመው,Idiom
ከነገር ሸተት አለ,Idiom
ከኔ በላይ አጉራሽ ማድ አበላሽ,Idiom
ከንበል አለ,Idiom
ከንፈረ ስስ,Idiom
ከንፈሩን ሚንሚን አደረገ,Idiom
ከንፈሩን ነከሰ,Idiom
ከንፈሩን አሾለ,Idiom
ከንፈር ወዳጅ,Idiom
ከንፈሯን መገመገው,Idiom
ከአንድ ወንዝ የተቀዱ,Idiom
ከአንገት በላይ ሳቅ ያስታውቃል,Idiom
ከእጅ ወደ አፍ,Idiom
ከካም,Idiom
ከፈሱ የተጣላ,Idiom
ከፊትህ ይነጥለኝ,Idiom
ከፍትፊቱ ፊቱ,Idiom
ኩነኔ በምድር ነው,Idiom
ኩነኔ ገባ,Idiom
ኩፍ አለ,Idiom
ኪስ አዉላቂ,Idiom
ካልጋ ወደቀ,Idiom
ካሳ ሰራ,Idiom
ካብተ ነቢ,Idiom
ካንገት በላይ,Idiom
ክልስ,Idiom
ክልስ ቃል,Idiom
ክልብስ አደረገ,Idiom
ክሩን የበጠሰ,Idiom
ክራር ግንባር,Idiom
ክርስትና አነሳ,Idiom
ክርስትና አነሳኝ,Idiom
ክርና መርፌ,Idiom
ክብረ ንጽህና,Idiom
ክብሩ ይስፋ,Idiom
ክብርና ገሰሰ,Idiom
ክቦ መናድ,Idiom
ክተት ሰራዊት,Idiom
ክንደ ሌባ,Idiom
ክንዱን ተንተራሰ,Idiom
ክንድህን አሳየው,Idiom
ክንፉን ጣለ,Idiom
ክው አለ,Idiom
ክዳን የለሽ,Idiom
ክፉ መንፈስ,Idiom
ክፉ ስልጣኔ,Idiom
ክፉ ቀን,Idiom
ክፉ ባለእዳ,Idiom
ክፉ ነገር ረመጠብኝ,Idiom
ክፍሌ ነው,Idiom
ክፍታፍ,Idiom
ኮሶ አስደነገጠኝ,Idiom
ኮሶ ያገሳው ,Idiom
ኮሶ ፊት,Idiom
ኮቴ ቢስ,Idiom
ኮቴውን ሰበረው,Idiom
ኮቴውን ነው ያገኘው,Idiom
ኮትኩተው ያሳደጉት ልጅ,Idiom
ኮከበ ነጠላ,Idiom
ኮከባቸው ገጠመ,Idiom
ኮከብ ቆጠረ,Idiom
ኮከብ ቆጣሪ,Idiom
ኳስ ራስ,Idiom
ኳኳቲያም,Idiom
ወለላ,Idiom
ወልዶ አይስም,Idiom
ወሰድ ያደርገዋል,Idiom
ወስፋቱ ተከፈተ,Idiom
ወረ ግቡ,Idiom
ወረቱ አለቀ,Idiom
ወረንጦ አፍ,Idiom
ወሬ መጁ,Idiom
ወርቅ አወጣ,Idiom
ወርች ክንብል,Idiom
ወሮበላ,Idiom
ወሸባ ገባ,Idiom
ወሸቱን ሸመጠጠው,Idiom
ወሽመጡ ተበጠሰ,Idiom
ወተቱ ሸፈተ,Idiom
ወንበሩን ወሰደበት,Idiom
ወንደ ላጤ,Idiom
ወንዳገረድ,Idiom
ወንድ አይደለሁም,Idiom
ወንድ እና ሴቱ ይለያል,Idiom
ወዝ አደር,Idiom
ወይን ረገጠ,Idiom
ወዳጅነቴን ሰርዣለሁ,Idiom
ወዶ አይስቅ,Idiom
ወገበ ቀጭን,Idiom
ወገቡን ሞከረ,Idiom
ወገቤን አለ,Idiom
ወገብ የለሽ,Idiom
ወገቧን ፈታች,Idiom
ወግ ለጠጠኝ,Idiom
ወግ አክራሪ,Idiom
ወግ አጥባቂ,Idiom
ወጣ ወጣ ይላል,Idiom
ወጥሮ ያዘው,Idiom
ወጥሽ ሌላ ነው,Idiom
ወፈፍ ወፈፍ አደረገ,Idiom
ወፌ ቆመች,Idiom
ወፍ አርግፍ,Idiom
ዋስ በራሴ አለ,Idiom
ዋስ የለሽ,Idiom
ዋንጫ ልቅለቃ,Idiom
ዋንጫ ልቅለቃ,Idiom
ዋጋ ቀረፈ,Idiom
ዋጋ ቆለለ,Idiom
ዋጋ ቢስ,Idiom
ዋጋ አሳበረ,Idiom
ውለታ ቢስ,Idiom
ውስጠ ወይራ,Idiom
ውስጡን ለቄስ,Idiom
ውርድ ንባብ,Idiom
ውርድ ከራሴ,Idiom
ውሸቱን ላፈው,Idiom
ውሸቱን ቀረደደው,Idiom
ውሻ አይብላሽ ጥል,Idiom
ውቃጫም,Idiom
ውትፍትፍ ስራ,Idiom
ውድቀት,Idiom
ውጦ ዝም,Idiom
ውጪ ነፍስ ግቢ ነፍስ,Idiom
ውጭዬን እንጅ ውስጤን አታውቅም,Idiom
ዉሃ ሆነ,Idiom
ዉሀ ሽንት,Idiom
ዉሀ ቀጠነ,Idiom
ዉሃ ቀጠነ,Idiom
ዉሃ ቅዳ ዉሃ መልስ,Idiom
ዉሃ በላው,Idiom
ዉሻ ሆድ,Idiom
ዉሻ በቸው የማይቀምሰው,Idiom
ዉሻ ዉሻ አደረገ,Idiom
ዉቃቢ ራቀው,Idiom
ዉቃቢ ቀረበው,Idiom
ዉቃቢ የራቀው,Idiom
ዘላለም ሀብተ ሰባራ እንደሆነ ይኖራል,Idiom
ዘመን የሰጠው,Idiom
ዘመዱን ሸኘ,Idiom
ዘመዳሞችን ደባለቃቸው,Idiom
ዘመድ ገዛ,Idiom
ዘረ ቢስ,Idiom
ዘረ ጥሩ,Idiom
ዘር መትር,Idiom
ዘር ቆርጥም,Idiom
ዘር አሰዳቢ,Idiom
ዘር ይውጣልህ,Idiom
ዘንዶ ማገር,Idiom
ዘጠኝ ወር ተሸከመች,Idiom
ዛሬን ሌሊት ካፋረሰ ይድን ይሆናል,Idiom
ዛር ስትወልድ ቢያይ የሚያምጥ,Idiom
ዛቢያ ገንጥል,Idiom
ዛጎል አይን,Idiom
ዜማውን አለዘበ,Idiom
ዝም አሰኘ,Idiom
ዝምቡን እሽ የማይል,Idiom
ዝርዝር ምስክር,Idiom
ዝናቡ በነጩ ይዞታል,Idiom
ዝናብ አፍ,Idiom
ዝንቤን እሽ አይለውም,Idiom
ዝጉብኝ,Idiom
ዥብ ጋላቢ,Idiom
የሀገር ምሰሶ,Idiom
የሆዴን ነግሬው ነበር,Idiom
የሆዴን ነግሬው ነበር,Idiom
የሆድ,Idiom
የኋላ የኋላ ,Idiom
የለበጣ አነጋገር,Idiom
የላም ልጅ,Idiom
የሌባ ደም,Idiom
የልመና እህል,Idiom
የልም ሩጫ,Idiom
የልቡ ደረሰ,Idiom
የልብ ልብ በቃው,Idiom
የልብ ሰንኮፍ,Idiom
የልብ አውቃ,Idiom
የልብስ ቅድ,Idiom
የልጅ አመሳሶ የለውም,Idiom
የልጅ አዋቂ,Idiom
የመስቀል ወፍ,Idiom
የሚላስ የሚቀመስ,Idiom
የሚኮሰኩስ ባህርይ አለው,Idiom
የሚያዘው የሚጨብጠው ጠፍቶታል,Idiom
የማርያም መቀነት,Idiom
የማርያም ምሳ,Idiom
የማርያም ግርዝ,Idiom
የማያዋጣ ጸሎት,Idiom
የማይሆን ነገር,Idiom
የምድር አዋቂ,Idiom
የምድር አጫዋች,Idiom
የምድር ጉድ,Idiom
የሞቀ ቤት,Idiom
የሞተ ሞተ,Idiom
የሞተ እንጀራ,Idiom
የሞት ሞት,Idiom
የሞት አፋፍ,Idiom
የሰማንያ  ሚስት,Idiom
የሰማይ ቁጣ,Idiom
የሰማይ ቁጣ,Idiom
የሰማይ ቤት,Idiom
የሰባ ነገር,Idiom
የሰው ሚስት አማገጠ,Idiom
የሰው ምሰሶ,Idiom
የሰው ሰው,Idiom
የሰው ስም ሰበረ,Idiom
የሰው ስም አትጥራ,Idiom
የሰው ስጋ አታኝክ,Idiom
የሰው ነጭ,Idiom
የሰው አይን ሆነበት,Idiom
የሰው አይን በላው,Idiom
የሰው አገር,Idiom
የሰው እንቁላል,Idiom
የሰው እንኩቶ,Idiom
የሰው እጅ አየ,Idiom
የሰውን ልክ,Idiom
የሰይጣን መልእክተኛ,Idiom
የሰይጣን ስራ,Idiom
የሰይጣን ቁራጭ,Idiom
የሰይጣን ነገረ,Idiom
የሰይጣን ፈረስ,Idiom
የሰጠ ነው,Idiom
የሰጠ ይታክታል,Idiom
የሰጡትን ይይዛል,Idiom
የሴት ልጅ,Idiom
የሴት መዶለቻ,Idiom
የሴት ምራቋ ደንዳና ነው,Idiom
የሴት አለሌ,Idiom
የሴት አልጫ,Idiom
የስጋ ቁራጭ,Idiom
የስጋ ቁራጭ የአጥንት ፍላጭ,Idiom
የረጋ ወተት,Idiom
የሩቅ ዘመድ,Idiom
የርጎ ዝምብ,Idiom
የሸና,Idiom
የሹመት ጣውንት,Idiom
የሽንብራ አፍንጫ,Idiom
የሽኮኮ ጸሎት,Idiom
የቀለም ሰው,Idiom
የቀለም ቀንድ,Idiom
የቀለም ቀንድ,Idiom
የቀለም አባት,Idiom
የቀን ጅብ,Idiom
የቁልቁሊት ውረድ,Idiom
የቁም አስር,Idiom
የቁራ መልእክተኛ,Idiom
የቂጥ ማረፊያ,Idiom
የቅርብ ሩቅ,Idiom
የቆመ ሰው ብዙ ያያል,Idiom
የቆማጣ ፈትፋች,Idiom
የቆንጆ መራራ,Idiom
የቋጠረው የማይፈታ,Idiom
የበላበትን ወጭት ደፊ,Idiom
የበላይ እና የበታች,Idiom
የበሬ ግንባር,Idiom
የበይ ተመልካች,Idiom
የባህር እራት,Idiom
የባህር ወሽመጥ,Idiom
የቤተ ክርስቲያን በር ተዛጋ,Idiom
የቤት ስራ,Idiom
የብረት ልጥ,Idiom
የብረት አር,Idiom
የተልባ ጥቅስ,Idiom
የተኳለ የተዳረ,Idiom
የተወለደበትን ቀን አስቆጠረው,Idiom
የተፈሳው ፈስ ለከተማው ይሸታል,Idiom
የነቃ የበቃ,Idiom
የነካካው እንጀራ,Idiom
የነገር ሰረገላ,Idiom
የነገር ቋት,Idiom
የነገር አባት,Idiom
የነጋበት ጅብ,Idiom
የነፍስ ዋጋ,Idiom
የኔ ሽታ,Idiom
የኔ አድባር,Idiom
የአህያ ምላስ,Idiom
የአለም ነገር ነው,Idiom
የአመት ልብስ የቀን ቁርስ,Idiom
የአንበሳ መደብ,Idiom
የአዞ እንባ,Idiom
የአይን ምሳ,Idiom
የአይጥ ምስክር,Idiom
የአፈና ጅብ,Idiom
የአፍ እላፊ,Idiom
የአፍ ወለምታ,Idiom
የአፍ ወለምታ,Idiom
የእህል ቋት,Idiom
የእህል ቤት,Idiom
የእልፍኝ አሽከር,Idiom
የእሳት ልጅ አመድ,Idiom
የእረኛ ቃል,Idiom
የእቡይ ሞረድ,Idiom
የእንቧይ ካብ,Idiom
የእንዝርት ቂጥ,Idiom
የእንጀራ አባት,Idiom
የእንጀራ ገመዱ ተበጠሰ,Idiom
የእንግዳ ቁርበት,Idiom
የእንጨት ምንቸት,Idiom
የእንጨት ሽበት,Idiom
የእጁን አገኘ,Idiom
የእጅ ጥራጊ,Idiom
የከሰለ እንጨት መስሏል,Idiom
የከረረ ጠጅ,Idiom
የከርሞ ሰው,Idiom
የከርሞ ጥጃ,Idiom
የከበደ ሰው,Idiom
የከንፈር ወዳጅ,Idiom
የካብ እባብ,Idiom
የኮሶ ስንብት,Idiom
የኮሶ ራት,Idiom
የኮራ ዳሌ,Idiom
የወለደች የከበደች,Idiom
የወላድ መካን,Idiom
የወላድ መካን ነች,Idiom
የወሬ ቋት,Idiom
የወንዝ ልጅ,Idiom
የወንድ አልጫ,Idiom
የወዜን ከፈለኝ,Idiom
የወገብ ቅማል,Idiom
የወጣለት ከብት,Idiom
የወፍ ቁንቋ,Idiom
የውል ሚስት,Idiom
የውስጥ ልብስ,Idiom
የውር የድንብር,Idiom
የውሻ ቁስል,Idiom
የውሻ በትር አስያዘ,Idiom
የዉሃ መንገድ,Idiom
የዉሻ አፍንጫ,Idiom
የዘመድ ጥል,Idiom
የዝሆን ጆሮ ይስጠኝ አለ,Idiom
የደሀ እንባ,Idiom
የደም ስር,Idiom
የደም ዋጋ,Idiom
የደም ገንቦ,Idiom
የደም ጋን,Idiom
የደምበኛ ልጅ,Idiom
የዱር ክብር,Idiom
የዳኛ ራት,Idiom
የድካም እንጀራ,Idiom
የጀርባ አጥንት,Idiom
የጅብ ፍቅር,Idiom
የጉም ሽንት,Idiom
የጉም ሽንት,Idiom
የጉም ጅብ,Idiom
የጋን መብራት,Idiom
የግንባር ስጋ,Idiom
የግንባር ስጋ,Idiom
የጡት አባት,Idiom
የጥርስ ስጋ,Idiom
የጦር ምሰሶ,Idiom
የጫረው እሳት ፈጀው,Idiom
የጭን ገረድ,Idiom
የጭን ገረድ,Idiom
የፈሲታ ተቆጢታ,Idiom
ያለቀበት,Idiom
ያላለቀላት,Idiom
ያልሰማ ጆሮ,Idiom
ያስችልህ,Idiom
ያስጠቀው ሆደ ሰፊነቱ ነው,Idiom
ያንሳህ,Idiom
ያንን አይነ ልም ሲናገር ሰማኸው,Idiom
ያው በገሌ,Idiom
ያይን ቆብ,Idiom
ያጠመደ አያጣውም,Idiom
ያፈና ጅብ,Idiom
ያፍዝ ያደንግዝ ,Idiom
ይሁን ,Idiom
ይህን የሰራው  የኔው ጉድ ነው,Idiom
ይለዋወጣል,Idiom
ይሉኝ አይል,Idiom
ይሉኝታ ቢስ,Idiom
ይሯሯጣል,Idiom
ይቀለኛል,Idiom
ይቅር ለእግዜር,Idiom
ይቅር ባይ,Idiom
ይቅር አለ,Idiom
ይቅር አሰኘ,Idiom
ይእመጣው ቢመጣ,Idiom
ደመ መራራ,Idiom
ደመ መራራ,Idiom
ደመ ቁጡ,Idiom
ደመ ነፍስ,Idiom
ደመ ግቡ,Idiom
ደመናው ተሾመ,Idiom
ደመናው ተጠንስሷል,Idiom
ደሙ እንደ ፈሰሰ ቀረ,Idiom
ደሙን ተራምዶ ሄደ,Idiom
ደሜ ከደማቸው ተቀላቅሏል,Idiom
ደም ሸተተው,Idiom
ደም ሸተተው,Idiom
ደም ተቃባ,Idiom
ደም ተቃባ,Idiom
ደም ነኝ,Idiom
ደም አደረቀ,Idiom
ደም አፈሰሰ,Idiom
ደም አፋሽ,Idiom
ደም አፍይ,Idiom
ደም ከልብ,Idiom
ደም የላትም,Idiom
ደም ያረገዘ ጣት,Idiom
ደም ይሁንብህ,Idiom
ደም ደም አለው,Idiom
ደም ግባቱ ረገፈ,Idiom
ደም ግባት,Idiom
ደሟ ፍልቅ አለ,Idiom
ደሟ ፍልቅ ያለች ናት,Idiom
ደረቅ እግር,Idiom
ደረቷ ያምራል,Idiom
ደረቷን መታች,Idiom
ደርቢኝ,Idiom
ደንጊያ ራስ,Idiom
ደንጊያ ተሸከመ,Idiom
ደዌ ስጋ,Idiom
ደዌ ነፍስ,Idiom
ደጀኑን ሰበረ,Idiom
ደጋን ወገብ,Idiom
ዱላ መዘዘ,Idiom
ዱላ ሸተተው,Idiom
ዱላ ቀመሰ,Idiom
ዱር ቤቴ,Idiom
ዳንኪራ መታ,Idiom
ዳኛ ረግጦ ሄደ,Idiom
ዳኝነቱን አነሳ,Idiom
ዳዊቱን ለበለበው,Idiom
ዳዊት ደጋሚ ነው,Idiom
ድሃ አደግ,Idiom
ድህነት ሰለጠነ,Idiom
ድል ነሳ,Idiom
ድራሽ አባቱ ጠፋ,Idiom
ድርስ ናት,Idiom
ድንቄም ሰለጠነች,Idiom
ድንበር ረገጠ,Idiom
ድንጋይ መንከስ,Idiom
ድንግልናዋ ጠፋ,Idiom
ድፍን ቃል,Idiom
ድፍን ቅል,Idiom
ጀርባውን መነጠረው,Idiom
ጁህ ቀደደ,Idiom
ጁድ አረገዘ,Idiom
ጅራቱን ይቆላል,Idiom
ጅብ አፍ,Idiom
ጅንጀሮ ፊት,Idiom
ጆሮ ስጠኝ,Idiom
ጆሮ ዳባ ልበሰ,Idiom
ጆሮ ግንዱን አልኩት,Idiom
ጆሮ ጠቢ,Idiom
ጆሮ ጠቢ,Idiom
ጆሮም የለኝ,Idiom
ጆሮውን ጠለዘው,Idiom
ገበታ ሰራ,Idiom
ገበታ ረጋጭ,Idiom
ገበታው ሳሳ,Idiom
ገና ዘንቦ ተባርቆ,Idiom
ገና ዘንቦ ገና ተባርቶ,Idiom
ገንዘቡን ረጨ,Idiom
ገንዘቡን ከሰከሰ,Idiom
ገንዘብ ቀረጠኝ,Idiom
ገንዘብ አሳዉሮታል,Idiom
ገንዘብ አጠቆረ,Idiom
ገንዘቧን ጥላው መጣች,Idiom
ገዥው በሀሳብ ላይ ሰነፈጠ,Idiom
ገደ ቢስ,Idiom
ገዳም ገባ,Idiom
ገድ በለኝ,Idiom
ገድሎኝ ሄደ,Idiom
ገጠ ቢስ,Idiom
ገጸ በረከት,Idiom
ገፊ ነው,Idiom
ጉልበቱ ተረታ,Idiom
ጉልበቱ ከዳው,Idiom
ጉልበቱን አፈሰሰ,Idiom
ጉልበት አለፈበት,Idiom
ጉራውን ነዛ,Idiom
ጉዳቱን አታርቀው,Idiom
ጉዳዩ መክኖ ቀረ,Idiom
ጉዳዩን ሞላ,Idiom
ጉድጓድ ማሰለት,Idiom
ጉጠት አፍ,Idiom
ጊዜ ጣለው,Idiom
ጋን ታረደ ሙክት ተዘነበለ,Idiom
ግምባሩ ተሸበሸበ,Idiom
ግምባሩን አኮማተረ,Idiom
ግራ ሆነብኝ,Idiom
ግባተ መሬት,Idiom
ግብረ መርፌ,Idiom
ግብረ ሰዶም,Idiom
ግብረ ስጋ,Idiom
ግብረ ስጋ,Idiom
ግብር ዉሃ,Idiom
ግንባረ ደረቅ,Idiom
ግንዘቤን ለፈኝ,Idiom
ግንድህን ለምን ትቆማለህ,Idiom
ግንጥል ጌጥ,Idiom
ግዛኝ ግዛኝ ብለው ሊሺጠኝ አሰበኝ,Idiom
ግዳይ ጣለ,Idiom
ግዳጁን ተወጣ,Idiom
ግጥም አለ,Idiom
ግፍ ሰራ,Idiom
ጎህ ቀደደ,Idiom
ጎመን በጤና አለ,Idiom
ጎረፍ ጎረፍ አደረገው,Idiom
ጎዶሎ ቀን,Idiom
ጎጆ ቀለሰ,Idiom
ጎጆ ወጣ,Idiom
ጎጆ ወጣ,Idiom
ጎጆው ፈረሰ,Idiom
ጓሮ ዞሯል,Idiom
ጓዝ ተጋሻ ቀለብ,Idiom
ጓያ ሰበረው,Idiom
ጠላት በጉያ,Idiom
ጠላው ሌላ ሌላ አለ,Idiom
ጠላው ተቆጣ,Idiom
ጠመንጃው ተራገጠ,Idiom
ጠምዶ ይዞኛል,Idiom
ጠቅልሎ አገባት,Idiom
ጠቅጥቆኝ ሄደ,Idiom
ጠበል አስመታ,Idiom
ጠብ እርግፍ አለ,Idiom
ጠንቋይ ጠየቀ,Idiom
ጠጁን ለበለበው,Idiom
ጠጅ የሚያጠጣ መሬት,Idiom
ጠጉሩን ነቀሰ,Idiom
ጠጉር ሰራ,Idiom
ጠጉር ስንጠቃ,Idiom
ጠፍ ያለች ሴት ናት,Idiom
ጠፍር ነካሽ,Idiom
ጡር ደረሰበት,Idiom
ጡት አስጣይ,Idiom
ጡት አዘራር,Idiom
ጡጫ ሆድ,Idiom
ጣመኝ ድገመኝ,Idiom
ጣት ይጠባል,Idiom
ጥላ ወጊ,Idiom
ጥሎ ማንሳት,Idiom
ጥሩ ፊት ነፈገ,Idiom
ጥሩምባህን አትንፋ,Idiom
ጥራዝ ነጠቅ,Idiom
ጥሬ ሰው,Idiom
ጥሬ ስጋውን በሉት,Idiom
ጥሬ ቃል,Idiom
ጥሬ እና ብስል,Idiom
ጥርሱን ነከሰ,Idiom
ጥርሱን አረገፈው,Idiom
ጥርሴን ነዘነዘኝ,Idiom
ጥቁር እንግዳ,Idiom
ጥቁር እንግዳ,Idiom
ጥቁር ዉሻ ውለድ,Idiom
ጥንቡን ጣለ,Idiom
ጥዋ ተርታ,Idiom
ጥዶ ዘለል,Idiom
ጥዶ ዘለል,Idiom
ጥጃ አሰረ,Idiom
ጥፊ ላሰ,Idiom
ጦሙን ከሮ ዋለ,Idiom
ጦም አዳሪ,Idiom
ጨለማ ፊት,Idiom
ጨረቃ ምድር ያዘች,Idiom
ጨርሰኝ,Idiom
ጨርቁን ጣለ,Idiom
ጨርቅ ለባሽ,Idiom
ጨዋታ ቀለጠ,Idiom
ጨዋታው ሞቀ,Idiom
ጩኸቱ ጆሮ ይጠልዛል,Idiom
ጩኸቴን ቀሙኝ,Idiom
ጫን ጫን ተነፈሰ,Idiom
ጭራ ቀረሽ,Idiom
ጭራ አወጣ,Idiom
ጭራው አይያዝም,Idiom
ጭር አለች,Idiom
ጭቃ አፍ,Idiom
ጭቅጭቁ እንባ ቀረሽ ነበር,Idiom
ጭዳ አለ,Idiom
ጸሀይ ወጣ,Idiom
ጸጋ ልበስ,Idiom
ጽድቅና ኩነኔ,Idiom
ፈስ ተናጠ,Idiom
ፈራ ያለ አፍንጫ,Idiom
ፈገግታዋ ገደለኝ,Idiom
ፉት ቢሉት ጭልጥ,Idiom
ፊተ ሰልካካ,Idiom
ፊቱ መጠጠ,Idiom
ፊቱ ከሰለ,Idiom
ፊቱ ጠወለገ,Idiom
ፊቱን ቋጠረ,Idiom
ፊቱን ነጨ,Idiom
ፊቱን አዙሮ ሄደ,Idiom
ፊቱን አይቼው ሁሉ ነገር በቀረብኝ,Idiom
ፊቱን አጠቆረ,Idiom
ፊት ነሳ,Idiom
ፊትህን አልየው,Idiom
ፊትህን አታጨልም,Idiom
ፍላጎቱን ተወጣ,Idiom
ፍልፍል ጥርስ,Idiom
ፍሬውን መታው,Idiom
ፍርጥ ብትል አልነግርህም,Idiom
ፍቅሩ ቀዘቀዘ,Idiom
ፍቅር አሟጠጠ,Idiom
ፍትፍት የመሰለ ኩታ,Idiom
ፍንክች ያባ ቢላዋ ልጅ,Idiom
ፍየል አፍ,Idiom
ፍየሏን እንደ በግ,Idiom
ፍዳውን በላ,Idiom
ፍግም አለ,Idiom
ፍጥረቱ ሁሉ አያምረኝም,Idiom
ህይወቷ አልፏል,Idiom
ቅስም ሰባሪ ነገር አይኖርም,Idiom
በላብህ በወዝሕ ብላ,Idiom
ከልብ እናመሰግናለን,Idiom
ከጎናችሁ ነን,Idiom
የምላስ ጦረኞች,Idiom
የአርባ ቀን ዕድሉ ነው,Idiom
  ሰዉ ወደደ ,Literal 
  በበዛብህ ጎጆ,Literal 
  በዛብህ ተሰናበተ,Literal 
  አበበ ከወንድሙ,Literal 
  አበጀ በለዉ,Literal 
  አንዳንድ ነገር,Literal 
  እንደምንም ብለዉ ,Literal 
  የሚጦረኝን የሚረዳኝን,Literal 
  የማይታሰብ ነዉ ,Literal 
  የተለያየ  ሰዎችን ናቸው,Literal 
 ሀዊረ ህይወት ,Literal 
 ሀገሬ ኢትዮጵያ,Literal 
 ሆሳእና ትንሳኤ ,Literal 
 ለሀገር ክብር,Literal 
 ለመሸፈን ተጣጣረ,Literal 
 ለማንሳት ፈቃድ ,Literal 
 ለምን እንዲህ አልክ ,Literal 
 ለስራዉ ማነቃቂያ ,Literal 
 ለተማሪዉ ደወለ,Literal 
 ለወዳጅዋ ያላት,Literal 
 ለጊዜዉ ተቆጡ,Literal 
 ሊኖረዉ አይችልም,Literal 
 ሌላ ነዉ,Literal 
 ልታለቅስ ይገባታል,Literal 
 መልካም እድል ,Literal 
 መምህሩ አስተማረ  ,Literal 
 መታወቂያዉ ዉስጥ ,Literal 
 መንግስት የሚያደርገዉ ,Literal 
 መዘጋጃ ቤት,Literal 
 መደንገጥ አያስፈልግም,Literal 
 መጽሀፍ አዘጋጀ ,Literal 
 ማብረድ ቻሉ,Literal 
 ምርጫ ምርጫ  ,Literal 
 ምግብ በልተሻል  ,Literal 
 ምግብ የምትሰራልኝ,Literal 
 ሰርግ ደገሰ,Literal 
 ሰከላ ወረዳ,Literal 
 ሳታገባ ትቀራለች ,Literal 
 ሳይሆን የምንገነዘበዉ ,Literal 
 ሳይበላ ተነሳ,Literal 
 ስልጠና ፍላጎት,Literal 
 ስማቸዉን ሲረሱባቸዉ ,Literal 
 ስራም አይዝ ,Literal 
 ስንት ወር ,Literal 
 ረገብ አደረገ ,Literal 
 ሮኬት ሳይንስ ,Literal 
 ቅዱስ ሚካኤል,Literal 
 ቅጽበታዊ ድርጊት,Literal 
 ቅጽበታዊ ድርጊት,Literal 
 በማሳየት ፈንታ,Literal 
 በማይሰራበት ትርጉም,Literal 
 በስለት ለታቦት,Literal 
 በሶ በላ,Literal 
 በቀጥታ መንገድ ,Literal 
 በባለፀጋ ልጅ ,Literal 
 በትምህርት ገበታ,Literal 
 በአጠቃላይ ይዘቱ,Literal 
 በደረቱ አሰጠግቶ,Literal 
 በጣም ስወዳት,Literal 
 ቢርበኝም የእስዋን አልበላም,Literal 
 ባህር ዳር ቤቴ,Literal 
 ባለዉ ግንኙነት ,Literal 
 ቤተ ክርስቲያን,Literal 
 ቤት መጣ,Literal 
 ቤት በመለስ ,Literal 
 ብርቱካን ልቁረጥልህ,Literal 
 ብታደራልኝ አማግሁልህ ,Literal 
 ተነስቶ ሄደ ,Literal 
 ተፈጥሮ መዉደድ ,Literal 
 ታጋሽ መሆኑ,Literal 
 ትምህርት ቤት ,Literal 
 ትንሽ ስህተት,Literal 
 ችግር አይቼ,Literal 
 ነርሲቱ አለቻት,Literal 
 ነክሰዉ ጠሉን,Literal 
 አማረኛ ቋንቋ,Literal 
 አማካሪ መምህር ,Literal 
 አምላኬ ማረኝ,Literal 
